vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,geschlecht,alter,internetnutzung,arztbesuche,
Cher22,38,,2,1.0,97,35,20,f,m,21,17,6,
Cher22,38,3,3,1.1,98,42,11,f,m,21,17,6,
Cher22,38,,4,1.8,93,37,,f,m,21,17,6,
Cher22,7,,1,2.1,73,119,,f,m,21,17,6,
Cher22,7,,2,1.4,81,7,,m,m,21,17,6,
Cher22,7,3,3,2.3,78,78,,f,m,21,17,6,
Cher22,7,,4,1.7,93,13,,f,m,21,17,6,
Cher22,25,,1,1.3,95,96,,f,m,21,17,6,
Cher22,25,2,2,1.0,96,14,19,f,m,21,17,6,
Cher22,25,,3,1.3,97,85,,f,m,21,17,6,
Cher22,25,,4,1.3,97,15,27,m,m,21,17,6,
Cher22,36,,1,2.4,68,40,,f,m,21,17,6,
Cher22,36,2,2,1.4,92,37,17,f,m,21,17,6,
Cher22,36,,3,2.1,77,25,,f,m,21,17,6,
Cher22,36,,4,1.4,86,27,18,f,m,21,17,6,
Cher22,35,,1,1.4,88,8,,f,m,21,17,6,
Cher22,35,,2,1.4,88,7,,f,m,21,17,6,
Cher22,35,3,3,1.3,99,7,40,m,m,21,17,6,
Cher22,35,,4,1.2,98,11,15,f,m,21,17,6,
Cher22,21,,1,1.7,90,108,27,m,m,21,17,6,
Cher22,21,,2,1.1,97,29,18,f,m,21,17,6,
Cher22,21,,3,1.1,95,39,21,f,m,21,17,6,
Cher22,21,4,4,1.8,80,118,31,m,m,21,17,6,
Cher22,31,1,1,2.3,74,9,25,m,m,21,17,6,
Cher22,31,,2,2.1,70,12,22,f,m,21,17,6,
Cher22,31,,3,2.3,67,81,,f,m,21,17,6,
Cher22,31,,4,2.3,78,96,,m,m,21,17,6,
Cher22,11,,1,1.0,100,14,,m,m,21,17,6,
Cher22,11,,2,2.4,70,30,,m,m,21,17,6,
Cher22,11,3,3,2.3,76,21,,f,m,21,17,6,
Cher22,11,,4,1.2,99,8,,f,m,21,17,6,
Cher22,14,1,1,1.0,97,5,,f,m,21,17,6,
Cher22,14,,2,1.8,83,29,,m,m,21,17,6,
Cher22,14,,3,1.0,95,14,,f,m,21,17,6,
Cher22,14,,4,1.7,85,50,,m,m,21,17,6,
Cher22,17,1,1,1.1,95,45,19,f,m,21,17,6,
Cher22,17,,2,1.2,99,45,23,f,m,21,17,6,
Cher22,17,,3,2.2,74,118,38,m,m,21,17,6,
Cher22,17,,4,2.3,72,93,37,m,m,21,17,6,
Cher22,10,1,1,2.0,75,27,,f,m,21,17,6,
Cher22,10,,2,2.2,75,28,,f,m,21,17,6,
Cher22,10,,3,1.5,91,12,,m,m,21,17,6,
Cher22,10,,4,1.4,93,11,,m,m,21,17,6,
Cher22,37,,1,2.3,79,50,,f,m,21,17,6,
Cher22,37,2,2,1.3,97,20,34,m,m,21,17,6,
Cher22,37,,3,1.3,97,21,40,m,m,21,17,6,
Cher22,37,,4,2.0,77,46,,m,m,21,17,6,
Cher22,32,1,1,2.0,72,9,12,f,m,21,17,6,
Cher22,32,,2,2.0,78,34,,m,m,21,17,6,
Cher22,32,,3,2.4,68,22,,f,m,21,17,6,
Cher22,32,,4,2.4,70,20,,m,m,21,17,6,
Cher22,39,,1,2.2,74,87,,f,m,21,17,6,
Cher22,39,,2,1.4,94,115,36,m,m,21,17,6,
Cher22,39,3,3,1.5,94,78,19,f,m,21,17,6,
Cher22,39,,4,1.9,66,111,,f,m,21,17,6,
Cher22,40,,1,1.3,99,82,13,f,m,21,17,6,
Cher22,40,,2,2.1,78,82,,f,m,21,17,6,
Cher22,40,,3,2.3,72,109,,m,m,21,17,6,
Cher22,40,4,4,1.2,100,119,30,m,m,21,17,6,
Cher22,26,,1,1.0,96,14,14,f,m,21,17,6,
Cher22,26,,2,1.3,100,48,,f,m,21,17,6,
Cher22,26,3,3,1.3,95,11,36,m,m,21,17,6,
Cher22,26,,4,1.3,99,43,,f,m,21,17,6,
Cher22,22,1,1,1.5,94,91,25,m,m,21,17,6,
Cher22,22,,2,1.1,100,12,19,f,m,21,17,6,
Cher22,22,,3,1.4,86,119,12,f,m,21,17,6,
Cher22,22,,4,1.0,100,6,18,f,m,21,17,6,
Cher22,41,,1,1.4,85,97,,f,m,21,17,6,
Cher22,41,,2,1.8,87,109,,f,m,21,17,6,
Cher22,41,,3,1.1,96,119,16,f,m,21,17,6,
Cher22,41,4,4,1.2,97,109,32,m,m,21,17,6,
Cher22,12,,1,1.8,86,116,,f,m,21,17,6,
Cher22,12,,2,1.0,100,43,,m,m,21,17,6,
Cher22,12,3,3,1.0,95,50,,f,m,21,17,6,
Cher22,12,,4,1.8,86,89,,f,m,21,17,6,
Cher22,27,,1,1.4,83,49,39,m,m,21,17,6,
Cher22,27,,2,1.7,92,70,,f,m,21,17,6,
Cher22,27,3,3,1.4,91,31,31,m,m,21,17,6,
Cher22,27,,4,1.6,84,97,,m,m,21,17,6,
chhe10,8,1,1,1.2,95,44,,f,f,50,4,3,
chhe10,8,,2,2.4,68,94,,f,f,50,4,3,
chhe10,8,,3,1.2,95,27,,m,f,50,4,3,
chhe10,8,,4,1.9,72,102,,m,f,50,4,3,
chhe10,19,,1,2.1,68,27,41,m,f,50,4,3,
chhe10,19,2,2,1.6,87,7,21,f,f,50,4,3,
chhe10,19,,3,2.1,72,30,37,m,f,50,4,3,
chhe10,19,,4,1.7,83,13,26,m,f,50,4,3,
chhe10,30,,1,2.4,70,83,,m,f,50,4,3,
