vpID;scenID;choice;locPos;note;prozent;anzahl;photoID;sex;
bart10;14;;3;1.3;96;14;;f;
bart10;14;;4;1.7;90;36;;m;
bart10;19;;1;2.2;69;43;19;f;
bart10;19;2;2;1.5;93;8;14;f;
bart10;19;;3;2.1;75;27;21;f;
bart10;19;;4;1.8;82;6;13;f;
bart10;18;;1;2.1;72;95;15;f;
bart10;18;2;2;1.1;96;12;40;m;
bart10;18;;3;1.2;96;14;20;f;
bart10;18;;4;1.9;68;72;31;m;
bart10;31;;1;2.4;67;5;38;m;
bart10;31;2;2;2.2;67;103;;f;
bart10;31;;3;2.4;76;75;;f;
bart10;31;;4;2.0;72;15;37;m;
bart10;26;;1;1.3;100;50;;f;
bart10;26;;2;1.2;99;11;16;f;
bart10;26;3;3;1.3;96;32;;f;
bart10;26;;4;1.2;100;15;13;f;
bart10;10;;1;1.5;82;14;;f;
bart10;10;;2;1.9;70;43;;f;
bart10;10;;3;2.4;73;48;;m;
bart10;10;4;4;1.4;83;15;;f;
bart10;6;;1;1.9;77;78;;m;
bart10;6;;2;1.7;86;22;;f;
