vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,
BEUT31,35,,2,1.3,97,7,13,f,
BEUT31,35,,3,1.6,92,8,,m,
BEUT31,35,,4,1.6,81,14,,m,
BEUT31,38,,1,1.8,94,27,,f,
BEUT31,38,,2,1.6,89,40,,m,
BEUT31,38,3,3,1.0,99,30,13,f,
BEUT31,38,,4,1.1,98,24,25,m,
BEUT31,9,,1,1.9,68,88,,m,
BEUT31,9,,2,1.0,98,5,,m,
BEUT31,9,,3,2.3,74,105,,m,
BEUT31,9,4,4,1.1,97,15,,f,
BEUT31,41,1,1,1.2,97,90,18,f,
BEUT31,41,,2,1.1,95,97,16,f,
BEUT31,41,,3,1.8,93,113,,f,
BEUT31,41,,4,1.7,82,94,,m,
BEUT31,24,,1,1.3,99,49,19,f,
BEUT31,24,,2,1.2,100,113,,f,
BEUT31,24,3,3,1.1,98,41,11,f,
BEUT31,24,,4,1.3,96,119,,m,
BEUT31,23,,1,1.6,88,32,18,f,
BEUT31,23,,2,1.7,82,46,13,f,
BEUT31,23,,3,1.3,98,5,22,f,
BEUT31,23,4,4,1.0,98,7,31,m,
BEUT31,40,1,1,1.0,97,98,36,m,
BEUT31,40,,2,2.3,79,100,,f,
BEUT31,40,,3,1.1,99,77,26,m,
BEUT31,40,,4,2.0,75,109,,m,
BEUT31,39,,1,1.7,88,95,25,m,
BEUT31,39,,2,1.9,70,102,,m,
BEUT31,39,,3,2.2,67,98,,f,
BEUT31,39,4,4,1.5,94,102,32,m,
BEUT31,14,,1,1.1,98,15,,m,
BEUT31,14,2,2,1.0,100,14,,f,
BEUT31,14,,3,1.4,88,42,,f,
BEUT31,14,,4,1.8,83,34,,f,
BEUT31,22,,1,1.7,83,117,17,f,
BEUT31,22,,2,1.0,98,11,34,m,
BEUT31,22,,3,1.7,90,117,22,f,
BEUT31,22,4,4,1.3,98,6,35,m,
BEUT31,13,,1,1.7,84,96,,f,
BEUT31,13,2,2,1.2,100,13,,m,
